Largest games by app size in MB per year
                                              App Name          Size    year
0                                                QBeez    253.416016  2008.0
1                                              PAC-MAN    210.491211  2008.0
2                                                Kroll    200.907869  2008.0
3                                  Solitaire Classic ©    172.075195  2008.0
4    Soccer Physics - free online foosball skill fr...    150.086914  2008.0
5                                           Checkers ・    118.766602  2008.0
6                       Backgammon - Classic Dice Game    114.958008  2008.0
7                                      Crazy Snowboard     98.872070  2008.0
8                                     Deep Green Chess     94.563477  2008.0
9                                     Iron Fist Boxing     93.884766  2008.0
10                                           Space Ace   2161.584961  2009.0
11               GUN CLUB 2 - Best in Virtual Weaponry   1446.156250  2009.0
12                                       Catan Classic    846.562500  2009.0
13                        Sally's Spa: Faced-Paced Fun    667.936523  2009.0
14                                       Myst Français    651.315430  2009.0
15                                        Myst Deutsch    649.487305  2009.0
16                                Myst Mobile (Legacy)    588.014648  2009.0
17                                          Myst Japan    581.392578  2009.0
18                         Urban Rivals - Street Cards    566.636719  2009.0
19                                         Sally's Spa    475.040039  2009.0
20                                    Dragon's Lair HD   1979.262695  2010.0
21                                     Smurfs' Village   1865.612305  2010.0
22                             Memories Off 6 ~T-wave~   1661.915039  2010.0
23                                     CHAOS;HEAD NOAH   1625.760742  2010.0
24                                  CHAOS;HEAD NOAH HD   1534.448242  2010.0
25                       Drift Mania Championship Lite   1124.557617  2010.0
26                              Riven (iPhone version)   1119.517578  2010.0
27             Nancy Drew - Shadow at the Water's Edge   1046.330683  2010.0
28                                   Mahjong Deluxe Go    889.761719  2010.0
29                                 GTA: Chinatown Wars    838.733398  2010.0
30                                  X3 Terran Conflict   7213.342400  2011.0
31                                     Civilization® V   5019.761985  2011.0
32                                         Psychonauts   4223.358104  2011.0
33                                               Ryzom   3618.802633  2011.0
34   Jules Verne's Return to Mysterious Island 2 – ...   2782.175104  2011.0
35                                           FlatOut 2   2676.533793  2011.0
36                                             Trine 2   2521.975207  2011.0
37                                   Star Wars™: KOTOR   2100.912992  2011.0
38     Nostradamus: The Last Prophecy - Director's Cut   2022.096675  2011.0
39                                Celtic Heroes 3D MMO   1976.903320  2011.0
40                                       Borderlands 2  32786.889726  2012.0
41                                   Total War: EMPIRE  13229.675713  2012.0
42                                        Stronghold 3   3902.217402  2012.0
43                                       Baldur's Gate   3152.189453  2012.0
44                         N.O.V.A. 3: Premium Edition   2676.589844  2012.0
45                      TheWorldEndswithYou: SoloRemix   2654.839844  2012.0
46                      TheWorldEndswithYouSoloRemixHD   2639.195312  2012.0
47                                  Hollywood Monsters   2304.464844  2012.0
48                      Nancy Drew - The Deadly Device   2263.557241  2012.0
49                 Nancy Drew - Tomb of the Lost Queen   2194.572865  2012.0
50                                 Total War: NAPOLEON  15883.465807  2013.0
51                                             Memoria   8980.123645  2013.0
52                                       Brütal Legend   8130.383879  2013.0
53                                   Metro: Last Light   8038.955673  2013.0
54                                 Night of the Rabbit   5897.654902  2013.0
55                                Baldur's Gate II: EE   3574.348633  2013.0
56                                     Goodbye Deponia   3556.424423  2013.0
57                                    Baldur's Gate II   3207.695649  2013.0
58                                   Runaway 2 - Vol 2   3146.275391  2013.0
59                                          République   3035.370117  2013.0
60                             Divinity - Original Sin  15944.697865  2014.0
61                      Total War: FALL OF THE SAMURAI  15279.374852  2014.0
62                                 Total War: SHOGUN 2  13756.666344  2014.0
63                                         Tomb Raider  11776.901622  2014.0
64                                    Dead Island GOTY  11519.815058  2014.0
65                       Deponia: The Complete Journey   7902.506459  2014.0
66                          Civilization: Beyond Earth   5556.764846  2014.0
67                         World of Tanks Blitz 3D War   3401.707031  2014.0
68                                 XCOM®: Enemy Within   3355.521484  2014.0
69                                        Icewind Dale   2857.451172  2014.0
70                      Company of Heroes 2 Collection  40105.749650  2015.0
71                              Thief™: Shadow Edition  25176.221751  2015.0
72                             Medieval II: Total War™  24550.936650  2015.0
73                  Alien: Isolation™ - The Collection  19926.905502  2015.0
74                                           SOMA 2015  11600.260620  2015.0
75                                         EMERGENCY 5  10665.127587  2015.0
76                                  Dreamfall Chapters   9754.576788  2015.0
77                             Metro: Last Light Redux   8463.049444  2015.0
78                                    Trainz A New Era   7901.804539  2015.0
79                                    Metro 2033 Redux   7070.713498  2015.0
80                                              XCOM 2  30446.241404  2016.0
81                   Sleeping Dogs™ Definitive Edition  16027.131930  2016.0
82                       Warhammer 40K: Dawn of War II  15725.799969  2016.0
83                        Dawn of War II: Chaos Rising  15725.378107  2016.0
84                                    Life Is Strange™  13122.046000  2016.0
85                                    Civilization® VI  12825.677129  2016.0
86                         Dawn of War II: Retribution  11499.846849  2016.0
87                                      EMERGENCY 2017  10664.221331  2016.0
88            Divinity - Original Sin Enhanced Edition   9547.795527  2016.0
89                         Wasteland 2: Director's Cut   9449.283809  2016.0
90                                           Mafia III  46456.905587  2017.0
91                                          DiRT Rally  42760.803113  2017.0
92                                Total War: WARHAMMER  32657.772740  2017.0
93                                            F1™ 2017  28563.944528  2017.0
94                           Warhammer® 40K®: DoW® III  27607.889937  2017.0
95                                            F1™ 2016  25203.116389  2017.0
96                                           Syberia 3  22148.272107  2017.0
97                                 BioShock Remastered  19103.241276  2017.0
98                                        EMERGENCY 20  10663.529933  2017.0
99                                     Sudden Strike 4   7710.334573  2017.0
100                      Aerofly FS 2 Flight Simulator  32337.811107  2018.0
101                           Rise of the Tomb Raider™  30133.448536  2018.0
102                                              MXGP3  12046.912720  2018.0
103                               THRONES OF BRITANNIA  10690.194623  2018.0
104                                      State of Mind   8959.545547  2018.0
105                               Farming Simulator 19   6209.936215  2018.0
106                     FlyWings 2018 Flight Simulator   5065.486952  2018.0
107                              Escape from Chernobyl   4125.322886  2018.0
108                                        Royal Chaos   4112.043945  2018.0
109                          DanMachi - MEMORIA FREESE   4026.131836  2018.0
110                          Total War: THREE KINGDOMS  43870.335733  2019.0
111                          Shadow of the Tomb Raider  36724.346972  2019.0
112                                             DiRT 4  35358.327187  2019.0
113                                          Tropico 6  29271.119881  2019.0
114                           Divinity: Original Sin 2  19080.738066  2019.0
115                                             Gravel  13965.631471  2019.0
116                                          Frostpunk   9061.173563  2019.0
117                                                ZED   8775.092298  2019.0
118                                              KURSK   8755.049427  2019.0
119                       EVERSPACE™ - Stellar-Edition   5323.803354  2019.0
120                            Total War: WARHAMMER II  45104.025642  2020.0
121                                  Life is Strange 2  40410.851272  2020.0
122                              BioShock 2 Remastered  12624.927711  2020.0
123                                     Planet Coaster  11356.222295  2020.0
124                      Disco Elysium - The Final Cut   8811.179903  2020.0
125                                   Company of Crime   7668.400978  2020.0
126                                  Estranged: Act II   5354.733924  2020.0
127                                      Monster Quest   4107.361328  2020.0
128                         Date A Live: Spirit Pledge   3947.396484  2020.0
129                                    Aerofly FS 2021   3862.772461  2020.0
130                                       Metro Exodus  73222.591724  2021.0
131                         Total War: ROME REMASTERED  55966.684362  2021.0
132                                  Transport Fever 2  15575.170883  2021.0
133                                               Myst  10058.645808  2021.0
134                        Frostpunk: Complete Edition   9061.171264  2021.0
135                                 Pascal's Wager: DE   7931.781907  2021.0
136                                           Base One   5975.696351  2021.0
137                           Riddle of the Sphinx™ HD   4704.712618  2021.0
138                            MHA: The Strongest Hero   3998.992188  2021.0
139                           Svoboda 1945: Liberation   3754.695312  2021.0
140                              LOST in Blue (Global)   2394.121094  2022.0
141                                      Galaxy Mobile   1081.780273  2022.0
142                                    Timewreck Tales    413.316406  2022.0
143                     Pet Care Game–My Cat & Dog Sim    343.963867  2022.0
144                                          Magicabin    336.686523  2022.0
145                     Summer Athletics Sports 3D Sim    327.161133  2022.0
146                     Twins Baby Care & Newborn Game    315.616211  2022.0
147                     High School Anime Teacher Game    305.040039  2022.0
148                     Billionaire Rich Dad Family 3D    301.818359  2022.0
149                     Anime Pregnant Mother Care Sim    276.645508  2022.0
Largest music apps by app size in MB per year
                           App Name         Size    year
0                        Capital FM   228.415039  2008.0
1    Deezer: Music & Podcast Player   131.972656  2008.0
2                     Holiday Bells   117.810547  2008.0
3                         Christmas   107.705078  2008.0
4               Sonos S1 Controller   107.688477  2008.0
5                        Cadena 100   106.034180  2008.0
6                         FourTrack   100.505859  2008.0
7                     Songs of Love    79.479492  2008.0
8                    ANTENNE BAYERN    55.920898  2008.0
9                      ROCK ANTENNE    54.147461  2008.0
10                     Music Studio   774.970703  2009.0
11                             Gold   231.008789  2009.0
12                            Heart   226.872070  2009.0
13                          Radio X   226.715820  2009.0
14                         ThumbJam   216.111328  2009.0
15                           GAY FM   213.359375  2009.0
16    SiriusXM:Music,Podcast&Sports   211.406250  2009.0
17            Schlager Radio Paloma   202.332031  2009.0
18                       StudioMini   201.603516  2009.0
19                     Raidió Rí-Rá   196.882812  2009.0
20   Core Course For Omnisphere 101  1638.103516  2010.0
21               Piano Music Scores  1223.760742  2010.0
22      Course For Ableton Live 101  1106.572266  2010.0
23               AmpliTube for iPad   967.458984  2010.0
24            AmpliTube CS for iPad   967.447266  2010.0
25         Intro to Recording Audio   930.388672  2010.0
26             Core Melodyne Course   897.271484  2010.0
27   Melody Course for Music Theory   785.037109  2010.0
28                        AmpliTube   773.917969  2010.0
29                     AmpliTube CS   773.902344  2010.0
30          Make Killer Drums Guide  2039.798828  2011.0
31         Make Killer Drums Course  1963.284487  2011.0
32    Core Course For MainStage - 2  1956.582031  2011.0
33      Core Course For MainStage 2  1888.537120  2011.0
34       Explore Course for Trilian  1784.671700  2011.0
35                       GarageBand  1597.953125  2011.0
36                         Sting 25  1592.548828  2011.0
37       Core Course For Omnisphere  1582.420330  2011.0
38                       SampleTank  1538.171875  2011.0
39                    SampleTank CS  1538.136719  2011.0
40    Elbphilharmonie Hamburg 3D HD  2148.046875  2012.0
41                  CMP Grand Piano  1665.830078  2012.0
42   Basslines  Music Theory Course  1263.550781  2012.0
43      Mix Digital, Sound Analog !  1214.789062  2012.0
44                    Drum Loops HD  1128.757812  2012.0
45                        Cubasis 2  1093.166016  2012.0
46     Mastering Course For WaveLab  1055.375000  2012.0
47         Auria - Music Production  1020.688477  2012.0
48             SessionBand Original  1014.579102  2012.0
49        Dubstep Essentials Course   960.947266  2012.0
50               Risale-i Nur Dinle  2894.672852  2013.0
51         Beethoven’s 9th Symphony  1958.220703  2013.0
52             Learn For LogicPro X  1951.049435  2013.0
53             Learn For ProTools11  1782.998643  2013.0
54                      FL Advanced  1613.479128  2013.0
55        Editing & Metering Course  1542.401053  2013.0
56                            Burea  1409.699219  2013.0
57                            Pitea  1259.537109  2013.0
58                Learn For SONARX2  1227.924438  2013.0
59         Vocal Guide for Nectar 2  1208.541172  2013.0
60                      House Music  5087.920526  2014.0
61                           HipHop  4852.264268  2014.0
62     Mastering Course for Ozone 6  3339.425781  2014.0
63                    KORG Gadget 2  2350.425781  2014.0
64                 Oriental Strings  1909.468750  2014.0
65                   Learning Piano  1881.365826  2014.0
66           Vivaldi’s Four Seasons  1848.055664  2014.0
67                  KORG Module Pro  1709.205078  2014.0
68                  Mozart Concerto  1617.766602  2014.0
69     Intro Guide for BreakTweaker  1299.225716  2014.0
70       Film Dialog Editing Course  2900.240476  2015.0
71      Audio Repair Course for RX4  2129.404297  2015.0
72         Producing House & Techno  1820.496094  2015.0
